return-date,sku,quantity,fulfillment-center-id,detailed-disposition,reason,status,customer-comments
2019-02-23T04:41:30+00:00,HM0737-Z-39,1,LAS2,DEFECTIVE,QUALITY_UNACCEPTABLE,IMMEDIATE_DISPOSAL,Too big.
2019-02-22T17:23:24+00:00,HM0701-H-36,1,IND8,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,Don抰 have original box
2019-02-22T15:27:50+00:00,HM0719-1039,1,IND8,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-22T14:28:07+00:00,HM0722-B-39,1,SDF9,SELLABLE,UNWANTED_ITEM,Unit returned to inventory,
2019-02-22T13:49:13+00:00,HM0731-Z-41,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-22T04:18:06+00:00,HM0731-Y-40,1,BUF9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-02-22T03:41:55+00:00,HM0722-M-39,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-22T03:41:01+00:00,HM0737-Z-39,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-21T18:54:13+00:00,HM0739-239,1,LAS2,SELLABLE,FOUND_BETTER_PRICE,Unit returned to inventory,
2019-02-21T16:11:45+00:00,HM0731-Y-41,1,IND8,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-21T12:16:35+00:00,HM0731-Z-42,1,IND8,SELLABLE,APPAREL_STYLE,Unit returned to inventory,These flip flops are very heavy on my feet.
2019-02-21T11:28:18+00:00,HM0505-1733/34,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,Fit good in the length but so wide they flop around at the ankle and my foot slides out.
2019-02-21T01:13:47+00:00,HM0722-H-37,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-20T23:39:36+00:00,HM0801-745,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-20T23:32:24+00:00,HM0803-3244,1,LAS2,SELLABLE,APPAREL_STYLE,Unit returned to inventory,
2019-02-20T23:11:45+00:00,HM0505-1731/32,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-20T18:44:45+00:00,HM0722-M-40,1,MOB9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-20T18:44:45+00:00,HM0725-139,1,MOB9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-20T05:51:52+00:00,HM0722-B-37,1,LAS2,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-19T19:27:31+00:00,HM0505-1743/44,1,SDF9,SELLABLE,APPAREL_TOO_LARGE,Unit returned to inventory,
2019-02-19T17:24:07+00:00,HM0505-2031/32,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-19T13:23:04+00:00,HM0748-1741,1,SDF9,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-19T04:41:40+00:00,HM0731-H-37,1,MIA7,SELLABLE,APPAREL_TOO_SMALL,Unit returned to inventory,
2019-02-18T23:28:08+00:00,HM0722-C-37,1,SDF9,SELLABLE,APPAREL_STYLE,Unit returned to inventory,Very uncomfortable!
2019-02-18T16:10:45+00:00,HM0701-H-36,1,SDF9,SELLABLE,MISORDERED,Unit returned to inventory,
2019-02-18T02:24:07+00:00,HM0722-C-40,1,SMF9,SELLABLE,MISORDERED,Unit returned to inventory,
