month,sku,average-quantity,end-quantity,fulfillment-center-id,detailed-disposition,country
06/2019,HM0706-M-40,0.47,1,LEX1,SELLABLE,US
06/2019,HM0505-1741/42,0.33,0,IND1,SELLABLE,US
06/2019,HM0724-F-42,1.83,1,ONT6,SELLABLE,US
06/2019,HM0740-3240,0.43,0,MDT2,SELLABLE,US
06/2019,HM0722-C-38,0.03,1,BWI2,SELLABLE,US
06/2019,HM0731-H-39,0.1,0,MDW4,SELLABLE,US
06/2019,HM0753-1938,5.5,14,MDT2,SELLABLE,US
06/2019,HM0701-1242,0.17,1,ACY1,SELLABLE,US
06/2019,HM0742-2239,18.77,27,MDT2,SELLABLE,US
06/2019,HM0725-2538,1.7,5,MDT2,SELLABLE,US
06/2019,HM0739-237,8,8,BNA3,SELLABLE,US
06/2019,HM0752-3139,0.03,1,JFK8,SELLABLE,US
06/2019,HM0725-140,0.2,0,JFK8,SELLABLE,US
06/2019,HM0505-1739/40,0.03,0,IND1,SELLABLE,US
06/2019,HM0714-241,8,12,MDT2,SELLABLE,US
06/2019,HM0717-140,0.07,0,LAS2,SELLABLE,US
06/2019,HM0728-1841,6.83,8,MDT2,SELLABLE,US
06/2019,HM0715-3238,4.57,4,MDT2,SELLABLE,US
06/2019,HM0803-3246,3.03,2,MDT2,SELLABLE,US
06/2019,HM0731-H-40,0.03,0,PHL7,SELLABLE,US
06/2019,HM0801-B-40,0.03,0,*XFR,SELLABLE,
06/2019,HM0505-1741/42,0.57,0,MDT2,SELLABLE,US
06/2019,HM0742-2240,0.23,1,SDF9,SELLABLE,US
06/2019,HM0731-Y-37,18.53,23,MDT2,SELLABLE,US
06/2019,HM0729-M-38,3.93,4,MDT2,SELLABLE,US
06/2019,HM0701-B-37,0.03,0,*XFR,SELLABLE,
06/2019,HM0709-1938,0.07,0,ABE2,SELLABLE,US
06/2019,HM0803-3246,0.43,0,JFK8,SELLABLE,US
06/2019,HM0731-Z-41,0.17,0,SDF9,SELLABLE,US
06/2019,HM0709-1940,0.17,0,PHX3,SELLABLE,US
06/2019,HM0737-F-39,19.17,27,MDT2,SELLABLE,US
06/2019,HM0738-138,14.23,17,MDT2,SELLABLE,US
06/2019,HM0701-B-40,0.07,2,DCA1,SELLABLE,US
06/2019,HM0701-B-40,0.03,0,ONT6,SELLABLE,US
06/2019,HM0722-H-40,0.03,0,DCA1,SELLABLE,US
06/2019,HM0739-239,3.37,5,MDT2,SELLABLE,US
06/2019,HM0725-139,0.03,0,ABE2,SELLABLE,US
06/2019,HM0711-2639,4,6,MDT2,SELLABLE,US
06/2019,HM0741-1639,3.33,12,MDT2,SELLABLE,US
06/2019,HM0731-Z-37,10.5,12,MDT2,SELLABLE,US
06/2019,HM0751-2240,2.4,12,MDT2,SELLABLE,US
06/2019,HM0801-2045,0.03,0,JFK8,SELLABLE,US
06/2019,HM0701-1237,0.03,0,IND1,SELLABLE,US
06/2019,HM0753-935,3.63,5,MDT2,SELLABLE,US
06/2019,HM0741-1640,0.03,0,*XFR,SELLABLE,
06/2019,HM0729-M-42,5.6,5,IND4,SELLABLE,US
06/2019,HM0733-1740,0.77,0,MDT2,SELLABLE,US
06/2019,HM0738-Z-37,0.03,0,MIA7,SELLABLE,US
06/2019,HM0807-143,0.13,1,SDF9,SELLABLE,US
06/2019,HM0709-1238,4.77,4,IND4,SELLABLE,US
06/2019,HM0719-1241,0.03,0,*XFR,SELLABLE,
06/2019,HM0731-H-38,0.1,0,*XFR,SELLABLE,
06/2019,HM0709-1940,0.03,0,ABE2,SELLABLE,US
06/2019,HM0739-241,0.03,0,*XFR,SELLABLE,
06/2019,HM0733-1741,6,7,MDT2,SELLABLE,US
06/2019,HM0701-B-38,5.27,22,MDT2,SELLABLE,US
06/2019,HM0744-2042,0.2,1,ACY1,SELLABLE,US
06/2019,HM0731-Y-41,0.07,0,SDF9,SELLABLE,US
06/2019,HM0709-1239,0.47,1,EWR9,SELLABLE,US
06/2019,HM0731-Y-39,27.07,31,MDT2,SELLABLE,US
06/2019,HM0701-1236,0.07,0,CHA1,SELLABLE,US
06/2019,HM0753-1941,4.63,11,MDT2,SELLABLE,US
06/2019,HM0719-1239,0.33,1,JFK8,SELLABLE,US
06/2019,HM0731-Y-35,0.4,1,PHX3,SELLABLE,US
06/2019,HM0722-M-40,0.03,0,BUF9,SELLABLE,US
06/2019,HM0747-0140,0.23,0,*XFR,SELLABLE,
06/2019,HM0747-0139,0.03,0,EWR4,SELLABLE,US
06/2019,HM0742-0242,0.03,0,LAS2,SELLABLE,US
06/2019,HM0701-1237,0.2,0,LEX1,SELLABLE,US
06/2019,HM0701-F-36,2.17,2,ONT6,SELLABLE,US
06/2019,HM0747-0135,1,1,IND1,SELLABLE,US
06/2019,HM0701-H-42,20.5,17,MDT2,SELLABLE,US
06/2019,HM0731-Z-38,0.13,0,*XFR,SELLABLE,
06/2019,HM0724-F-41,0.23,0,*XFR,SELLABLE,
06/2019,HM0701-F-41,0.1,0,CHA1,SELLABLE,US
06/2019,HM0722-H-36,4.13,0,MDT2,SELLABLE,US
06/2019,HM0751-2239,2.4,12,MDT2,SELLABLE,US
06/2019,HM0801-2045,6,4,MDT2,SELLABLE,US
06/2019,HM0701-H-41,0.07,0,LAS2,SELLABLE,US
06/2019,HM0505-1745/46,17.6,17,IND4,SELLABLE,US
06/2019,HM0738-H-40,0.03,0,ACY1,SELLABLE,US
06/2019,HM0803-1243,0.1,1,IND8,SELLABLE,US
06/2019,HM0701-1840,0.13,0,*XFR,SELLABLE,
06/2019,HM0742-0240,0.2,0,CHA1,SELLABLE,US
06/2019,HM0738-V-41,0.17,0,BNA3,SELLABLE,US
06/2019,HM0725-139,0.03,0,IND4,SELLABLE,US
06/2019,HM0722-L-40,0.43,0,SDF9,SELLABLE,US
06/2019,HM0701-H-42,0.13,0,ABE2,SELLABLE,US
06/2019,HM0737-Z-36,1.2,6,MDT2,SELLABLE,US
06/2019,HM0737-F-40,0.03,0,EWR4,SELLABLE,US
06/2019,HM0701-H-36,1.87,0,ABE3,SELLABLE,US
06/2019,HM0731-H-38,0.17,0,HIO9,SELLABLE,US
06/2019,HM0719-1239,0.1,0,ABE2,SELLABLE,US
06/2019,HM0751-239,2.6,9,MDT2,SELLABLE,US
