sku,fulfilled-by,your-price,sales-price,longest-side,median-side,shortest-side,length-and-girth,unit-of-dimension,item-package-weight,unit-of-weight,product-size-tier,currency,estimated-fee-total,estimated-referral-fee-per-unit,estimated-variable-closing-fee,estimated-order-handling-fee-per-order,estimated-pick-pack-fee-per-unit,estimated-weight-handling-fee-per-unit,expected-fulfillment-fee-per-unit
HM0711-2639,Amazon,15.99,14.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0744-2039,Amazon,14.99,14.99,11.18,4.29,2.8,25.35,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0701-2141,Amazon,29.99,13.99,10.98,4.29,2.8,25.16,inches,1.2,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0759-3236,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0731-Z-41,Amazon,17.99,17.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.46,2.7,0,--,--,--,4.76
HM0505-2037/38,Amazon,15.99,15.99,11,8.2,3.5,34.39,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.66,2.4,0,--,--,--,5.26
HM0738-C-36,Amazon,14.99,14.99,10.4,4.9,2.4,24.99,inches,0.6,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0738-Z-36,Amazon,15.99,15.99,10.4,4.9,2.4,24.99,inches,0.6,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0759-1040,Amazon,16.99,16.99,10.83,4.13,3.94,26.97,inches,1.21,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0722-H-40,Amazon,16.99,16.99,10.98,4.41,4.09,27.99,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0801-2043,Amazon,15.99,15.99,11.5,4.49,2.8,26.06,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0724-M-38,Amazon,15.99,15.99,10.98,4.49,2.91,25.79,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-1839,Amazon,14.99,14.99,10.91,4.8,2.8,26.1,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0701-B-37,Amazon,14.99,14.99,10.98,4.29,2.8,25.16,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0731-Z-35,Amazon,16.99,16.99,10.8,4.3,2.9,25.2,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0731-Y-42,Amazon,16.99,16.99,10.87,4.8,2.2,24.88,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0725-2540,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.3,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0803-3244,Amazon,15.99,15.99,11.61,4.49,2.8,26.18,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0715-1641,Amazon,9.99,14.99,10.8,4.8,2.2,24.8,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0722-X-37,Amazon,15.99,15.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-X-36,Amazon,14.99,14.99,9.6,4.5,2.7,23.99,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0729-L-41,Amazon,15.99,15.99,10.8,4.8,2.2,24.8,inches,0.8,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0751-2236,Amazon,15.99,15.99,10.9,4.4,2.7,25.1,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0740-3239,Amazon,15.99,15.99,10.79,4.29,2.8,24.96,inches,0.93,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0725-138,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-2137,Amazon,13.99,13.99,10.98,4.29,2.8,25.16,inches,0.85,pounds,Lg-Std-Non-Media,USD,6.86,2.1,0,--,--,--,4.76
HM0709-238,Amazon,29.99,15.99,10.91,4.29,2.8,25.08,inches,0.88,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0733-1737,Amazon,15.99,15.99,10.91,4.41,2.8,25.31,inches,0.79,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0701-R-41,Amazon,14.99,14.99,10.08,4.25,3.07,24.72,inches,0.66,pounds,Lg-Std-Non-Media,USD,5.53,2.25,0,--,--,--,3.28
HM0505-1031/32,Amazon,15.99,15.99,9.5,6.7,1.8,26.49,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0731-H-38,Amazon,16.99,16.99,10.91,4.41,2.8,25.31,inches,1.05,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
HM0701-H-37,Amazon,29.99,14.99,10.98,4.29,2.8,25.16,inches,0.85,pounds,Lg-Std-Non-Media,USD,7.01,2.25,0,--,--,--,4.76
HM0753-1938,Amazon,15.99,15.99,9.8,4.2,2.3,22.8,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0741-0238,Amazon,15.99,15.99,9.8,4.2,2.3,22.8,inches,0.7,pounds,Lg-Std-Non-Media,USD,5.68,2.4,0,--,--,--,3.28
HM0801-745,Amazon,15.99,15.99,11.61,4.61,2.8,26.42,inches,1.1,pounds,Lg-Std-Non-Media,USD,7.16,2.4,0,--,--,--,4.76
HM0722-B-37,Amazon,16.99,16.99,10.91,4.29,4.02,27.52,inches,1.15,pounds,Lg-Std-Non-Media,USD,7.31,2.55,0,--,--,--,4.76
